BBB9,-58,16,-73,24994,-10966,24977,335,-379,1400,13232,3262,4023,79
BBB9,-56,18,-73,24994,-10798,24977,777,24,1229,13182,3262,4045,79
BBB9,-56,20,-76,24994,-8779,24977,286,-348,1447,13130,3262,4035,79
BBB9,-54,18,-75,24994,-9066,24977,803,-216,1173,13053,3262,4021,79
BBB9,-58,21,-72,24994,-7645,24977,270,-141,1487,13016,3256,4049,79
BBB9,-57,23,-80,24994,-9761,24977,836,-368,1095,12957,3256,3961,79
BBB9,-55,22,-75,24994,-10136,24977,513,129,1378,12881,3256,4056,79
BBB9,-34,16,-77,24994,-15657,24977,869,-509,941,12840,3256,3950,79
BBB9,-16,45,-93,24994,-3697,24977,414,-191,1427,12799,3243,4051,79
BBB9,-17,9,-79,8570,-17416,5218,1046,218,737,12738,3243,4047,79
BBB9,6,16,-141,-25003,16601,-9112,557,203,1338,12624,3243,4052,79
BBB9,-27,-39,-94,-25003,13517,-25020,933,502,805,12624,3243,4052,79
BBB9,-85,-35,35,-25003,-8694,24977,969,505,583,12584,3231,4049,79
BBB9,-21,-41,-31,-9956,23612,-5696,985,482,-106,12517,3231,3951,79
BBB9,-36,-60,40,-25003,9952,24977,556,702,-514,12464,3231,3945,79
BBB9,-17,-103,-243,-25003,24996,-25020,1025,114,884,12368,3231,3957,79
BBB9,-26,-21,-72,-25003,-25001,-13358,870,489,652,12318,3212,3953,79
BBB9,-40,80,62,-25003,15976,24775,648,-921,-75,12313,3212,3951,79
BBB9,-68,43,71,-8581,-3297,-25020,909,-677,-95,12196,3212,3958,79
BBB9,-106,-42,149,24994,12925,-25020,868,176,-573,12214,3212,3942,79
BBB9,-104,15,99,24994,-1984,-25020,335,299,-891,12137,3156,3899,79
BBB9,-86,9,94,24994,-8955,-25020,947,-217,-467,12046,3156,3924,79
BBB9,-71,4,93,24994,-6456,-25020,329,-232,-914,11978,3156,3904,79
BBB9,-60,7,93,24994,-3679,-25020,958,-119,-462,11907,3156,3931,79
BBB9,-50,6,93,24995,-4218,-25020,391,-175,-904,11863,3087,3910,79
BBB9,-42,5,98,24994,-4165,-25020,1015,-232,-341,11818,3087,3930,79
BBB9,-32,5,105,24994,-2142,-25020,729,-404,-617,11712,3087,3921,79
BBB9,-25,5,111,24994,-1353,-25020,997,203,-385,11657,3000,3967,79
BBB9,-27,1,115,24995,-2122,-25020,658,133,-789,11588,3000,3920,79
BBB9,-24,5,112,23972,-995,-25020,881,-433,-404,11539,3000,3927,79
BBB9,-24,8,108,24995,-2131,-25020,999,137,-398,11489,3000,3975,79
BBB9,-25,5,113,24995,-1392,-24852,638,57,-811,11434,2931,3923,79
BBB9,-27,1,120,24994,-2119,-25020,872,-363,-518,11398,2931,3921,79
BBB9,-27,0,128,24994,-1997,-25020,1021,189,-327,11328,2931,3999,79
BBB9,-24,6,119,24108,-675,-25020,634,-90,-803,11271,2931,3922,79
BBB9,-27,10,120,24995,-3135,-25020,979,-352,-336,11229,2875,3924,79
BBB9,-27,0,125,24995,-2841,-25020,927,323,-436,11157,2875,3983,79
BBB9,-29,10,120,24995,-2475,-25020,590,-251,-793,11097,2875,3924,79
BBB9,-28,3,124,24995,-2803,-25020,1051,-160,-284,11054,2875,3928,79
BBB9,-28,8,122,23691,-396,-25020,822,298,-600,10992,2825,3940,79
